App,"Ad Unit",Country,Date,"Est. earnings (USD)","Observed eCPM (USD)",Requests,"Matched Rate (%)","Matched Requests","Show Rate (%)",Impressions,"CTR (%)",Clicks
"Flyer Ads, Poster Maker",Banner,"South Africa",2023-06-11,0.00,0.00,1,100.00%,1,0.00%,0,0.00%,0
"Flyer Ads, Poster Maker",Banner,Zambia,2023-06-11,0.00,0.29,2,100.00%,2,100.00%,2,50.00%,1
